student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,risk_score
6946,17,other,private,high school,4.4,74.6,yes,>60 min,no,group study,45.9,60.8,51.3,61.4,d,32.459999999999994
6947,16,other,public,high school,4.6,88.2,yes,>60 min,yes,notes,37.5,85.4,84.7,74.4,c,18.159999999999982
6948,16,female,private,graduate,1.1,87.3,yes,<15 min,no,group study,39.1,41.1,56.5,48.3,e,80.0
6949,16,female,public,post graduate,0.6,62.3,yes,15-30 min,yes,online videos,2.0,25.9,22.7,23.5,f,80.0
6950,17,female,private,no formal,4.0,95.5,yes,>60 min,yes,coaching,53.6,52.7,57.8,64.0,d,29.599999999999994
6951,18,female,public,diploma,2.0,88.5,yes,>60 min,no,coaching,57.9,30.8,59.5,46.3,e,80.0
6952,16,male,public,graduate,7.2,54.3,yes,15-30 min,yes,group study,82.5,81.5,82.6,87.1,b,90.0
6953,18,other,private,phd,3.7,78.6,yes,15-30 min,no,group study,76.8,58.2,60.5,60.6,d,33.33999999999999
6954,18,female,private,phd,3.1,70.6,yes,15-30 min,yes,notes,53.3,55.1,47.6,59.0,d,35.099999999999994
6955,16,other,public,phd,4.6,73.0,no,30-60 min,yes,mixed,82.0,60.0,61.9,73.2,c,19.47999999999999
6956,19,male,private,graduate,5.2,68.4,yes,15-30 min,no,online videos,70.6,68.9,90.0,72.1,c,20.689999999999998
6957,15,female,private,no formal,1.1,74.8,no,>60 min,yes,coaching,33.4,34.5,52.0,37.9,f,80.0
6958,19,female,private,phd,6.1,67.8,yes,15-30 min,no,online videos,99.0,99.7,95.9,84.6,c,6.939999999999998
6959,15,other,public,graduate,1.5,73.1,yes,>60 min,no,group study,56.2,39.2,37.0,34.2,f,80.0
6960,17,female,public,phd,3.4,77.2,yes,<15 min,no,online videos,47.5,33.6,37.5,51.8,e,43.019999999999996
6961,15,male,private,phd,3.2,86.5,yes,>60 min,yes,mixed,48.9,53.4,63.7,60.1,d,33.889999999999986
6962,16,female,private,post graduate,4.8,57.6,yes,30-60 min,no,textbook,56.0,62.2,60.7,56.5,d,90.0
6963,16,other,public,diploma,5.7,56.7,yes,30-60 min,no,coaching,77.7,69.3,73.7,74.4,c,90.0
6964,18,male,public,graduate,6.5,74.9,yes,30-60 min,no,online videos,84.1,70.3,84.6,78.2,c,13.97999999999999
6965,14,female,private,post graduate,4.5,73.7,yes,<15 min,yes,notes,74.3,61.6,91.8,73.1,c,19.590000000000003
6966,19,male,public,phd,1.7,78.2,yes,15-30 min,no,group study,41.3,50.7,44.3,50.2,e,80.0
6967,19,other,public,high school,5.7,80.7,no,30-60 min,no,textbook,100.0,100.0,84.9,82.4,c,9.359999999999985
6968,17,male,private,graduate,4.1,63.7,yes,30-60 min,no,textbook,50.6,50.2,48.9,59.5,d,34.55
6969,17,female,private,graduate,4.9,82.4,yes,<15 min,no,coaching,79.1,92.6,86.3,81.0,c,10.899999999999991
6970,18,other,private,high school,3.8,74.8,yes,15-30 min,no,notes,79.6,72.3,65.4,68.1,d,25.090000000000003
6971,15,other,public,diploma,3.6,74.8,no,30-60 min,no,group study,43.0,47.8,54.5,53.5,e,41.15
6972,18,male,public,phd,5.8,79.7,yes,<15 min,yes,notes,68.3,73.4,60.2,68.5,d,24.64999999999999
6973,15,male,public,no formal,4.4,80.6,yes,>60 min,no,group study,80.7,59.4,67.6,74.8,c,17.72
6974,18,male,private,graduate,7.0,80.8,yes,<15 min,yes,mixed,80.8,85.5,53.0,78.8,c,13.319999999999993
6975,15,female,private,graduate,6.1,91.5,yes,<15 min,no,group study,92.8,86.3,87.9,88.2,b,2.9799999999999898
6976,18,other,public,phd,4.1,75.0,no,>60 min,no,textbook,66.7,68.6,65.5,69.3,d,23.769999999999996
6977,18,male,private,high school,2.1,97.1,yes,30-60 min,no,notes,48.7,46.3,47.1,45.9,e,80.0
6978,15,male,private,diploma,0.6,97.3,yes,30-60 min,no,online videos,31.1,47.7,37.8,38.5,f,80.0
6979,17,female,public,no formal,2.0,66.8,yes,30-60 min,yes,group study,31.9,40.5,55.0,48.8,e,80.0
6980,16,other,public,diploma,2.6,94.1,yes,<15 min,yes,online videos,56.0,40.3,79.4,62.9,d,80.0
6981,15,female,private,phd,1.4,71.0,yes,<15 min,yes,textbook,35.4,11.0,26.0,35.2,f,80.0
6982,17,female,public,post graduate,5.5,98.7,yes,<15 min,yes,online videos,85.3,75.9,86.4,79.7,c,12.329999999999984
6983,19,other,private,diploma,2.9,96.4,yes,15-30 min,no,notes,83.1,93.1,60.2,70.7,c,80.0
6984,14,other,private,graduate,0.7,72.0,yes,30-60 min,yes,mixed,42.9,23.3,22.5,27.2,f,80.0
6985,19,female,public,phd,3.8,67.5,yes,30-60 min,no,textbook,42.0,71.5,55.2,57.0,d,37.3
6986,19,female,public,diploma,6.4,84.3,yes,30-60 min,no,mixed,72.7,75.8,90.2,83.0,c,8.699999999999989
6987,17,female,public,high school,3.0,68.4,yes,15-30 min,yes,coaching,46.8,59.0,38.3,51.5,e,43.349999999999994
6988,17,male,private,phd,7.3,83.0,yes,30-60 min,yes,group study,93.2,83.8,76.0,90.1,b,0.8900000000000006
6989,16,female,private,phd,6.9,71.1,yes,<15 min,yes,mixed,76.9,64.0,77.3,77.7,c,14.529999999999987
6990,14,other,public,graduate,7.2,75.1,yes,15-30 min,yes,coaching,100.0,93.8,61.8,93.6,b,-2.960000000000008
6991,17,male,public,no formal,5.5,68.9,yes,>60 min,no,group study,76.9,75.5,82.7,73.4,c,19.25999999999999
6992,18,other,private,no formal,6.5,89.8,yes,30-60 min,no,group study,96.0,91.2,94.9,89.0,b,2.0999999999999943
6993,15,female,public,no formal,3.4,80.1,yes,>60 min,no,notes,53.4,78.9,66.8,68.1,d,25.090000000000003
6994,18,female,public,post graduate,5.7,84.2,yes,<15 min,yes,coaching,83.6,88.1,89.0,82.6,c,9.14
6995,18,male,private,high school,2.2,91.0,yes,30-60 min,yes,notes,55.0,66.1,33.2,53.2,e,80.0
6996,18,other,private,no formal,2.0,89.8,yes,30-60 min,no,mixed,60.5,71.3,64.0,58.4,d,80.0
6997,16,male,private,post graduate,7.6,75.5,yes,30-60 min,no,group study,98.9,98.9,100.0,99.2,a,-9.120000000000019
6998,16,female,private,diploma,4.6,62.7,yes,<15 min,yes,notes,71.9,37.5,36.6,55.6,d,38.839999999999996
6999,16,male,public,graduate,1.0,68.2,yes,<15 min,yes,mixed,33.3,28.7,33.4,33.2,f,80.0
7000,19,other,private,high school,2.0,77.6,yes,15-30 min,no,notes,40.3,56.7,47.1,51.8,e,80.0
7001,19,male,public,high school,4.0,61.9,yes,15-30 min,no,online videos,49.1,61.8,39.9,60.5,d,33.44999999999999
7002,16,other,public,high school,6.8,89.0,yes,15-30 min,no,coaching,78.0,100.0,80.2,83.5,c,8.149999999999991
7003,19,female,public,graduate,7.2,61.5,yes,>60 min,no,online videos,70.0,94.8,85.7,81.5,c,10.349999999999994
7004,17,male,private,phd,1.4,66.8,yes,30-60 min,yes,online videos,54.2,43.2,14.0,36.8,f,80.0
7005,16,other,private,phd,1.0,81.6,yes,>60 min,no,coaching,51.3,39.1,41.7,36.4,f,80.0
7006,14,other,private,no formal,1.4,84.9,yes,<15 min,yes,textbook,34.8,37.4,51.5,40.4,e,80.0
7007,17,male,public,post graduate,5.5,69.7,yes,>60 min,yes,group study,79.4,82.7,61.6,75.2,c,17.279999999999987
7008,17,other,public,post graduate,4.5,87.8,no,15-30 min,yes,online videos,74.4,77.3,62.0,77.7,c,14.529999999999987
7009,19,other,private,no formal,6.0,95.1,yes,30-60 min,yes,online videos,91.3,82.5,100.0,93.7,b,-3.0700000000000074
7010,18,other,private,graduate,5.0,58.2,yes,30-60 min,yes,notes,47.1,65.4,48.8,53.8,e,90.0
7011,14,female,public,diploma,1.2,95.8,yes,<15 min,yes,coaching,49.7,24.6,54.7,44.0,e,80.0
7012,17,male,private,high school,2.4,76.9,yes,>60 min,no,online videos,52.9,47.7,54.1,54.7,e,80.0
7013,18,female,private,post graduate,3.0,72.4,yes,15-30 min,no,group study,50.4,50.3,40.2,54.4,e,40.16
7014,16,other,private,phd,5.8,89.8,yes,15-30 min,yes,notes,85.8,80.5,76.9,90.0,b,0.9999999999999858
7015,16,female,public,graduate,5.0,89.2,yes,<15 min,yes,online videos,95.0,75.1,100.0,84.3,c,7.269999999999996
7016,18,female,public,high school,7.6,84.1,yes,>60 min,yes,group study,78.3,88.7,68.8,87.0,b,4.299999999999997
7017,17,other,private,diploma,1.6,70.4,yes,30-60 min,yes,group study,26.9,28.2,28.3,33.0,f,80.0
7018,18,female,public,graduate,7.5,63.4,yes,>60 min,no,group study,80.5,92.2,77.9,87.2,b,4.079999999999984
7019,16,male,private,phd,2.2,68.0,yes,<15 min,yes,mixed,51.2,44.8,23.1,44.0,e,80.0
7020,15,other,private,post graduate,3.1,78.7,yes,30-60 min,no,mixed,68.2,52.5,56.6,51.9,e,42.91
7021,17,female,public,post graduate,0.8,78.2,no,<15 min,no,textbook,25.9,38.9,22.9,32.8,f,80.0
7022,19,female,private,post graduate,2.7,96.2,yes,30-60 min,yes,group study,77.1,53.0,67.8,62.6,d,80.0
7023,17,female,public,post graduate,2.0,72.8,yes,<15 min,yes,notes,51.7,20.1,38.3,40.1,e,80.0
7024,18,other,private,high school,2.1,83.3,yes,>60 min,yes,textbook,31.9,49.2,47.5,42.0,e,80.0
7025,14,other,public,no formal,4.8,83.0,yes,15-30 min,no,notes,81.8,77.6,55.7,79.6,c,12.439999999999998
7026,19,other,private,phd,6.4,86.6,yes,>60 min,no,mixed,78.3,94.2,85.4,89.4,b,1.6599999999999824
7027,15,other,private,graduate,6.1,99.6,yes,15-30 min,no,textbook,92.4,69.0,100.0,95.9,a,-5.490000000000009
7028,19,male,public,phd,6.7,90.1,no,<15 min,yes,mixed,68.7,77.1,77.1,83.1,c,8.590000000000003
7029,16,other,private,post graduate,6.0,52.0,yes,<15 min,yes,textbook,57.0,59.5,57.5,61.3,d,90.0
7030,19,other,public,diploma,7.8,90.6,no,15-30 min,no,textbook,97.2,100.0,87.3,100.0,a,-10.000000000000014
7031,19,male,private,graduate,0.6,100.0,yes,<15 min,yes,online videos,34.0,54.0,41.2,43.7,e,80.0
7032,18,female,private,graduate,7.9,51.9,yes,30-60 min,no,group study,96.4,86.0,80.4,92.4,b,90.0
7033,19,other,public,phd,3.6,79.9,yes,>60 min,no,notes,78.7,46.4,63.9,67.4,d,25.859999999999985
7034,17,female,private,diploma,4.1,80.0,yes,15-30 min,no,textbook,66.2,51.6,50.9,61.0,d,32.89999999999999
7035,19,other,public,diploma,4.8,76.2,yes,<15 min,yes,mixed,63.2,72.7,86.4,76.1,c,16.290000000000006
7036,15,female,private,diploma,0.6,93.8,yes,<15 min,no,textbook,46.5,38.3,42.9,34.2,f,80.0
7037,14,male,private,no formal,1.9,90.7,yes,15-30 min,no,coaching,43.6,45.3,29.6,41.8,e,80.0
7038,17,male,private,diploma,3.8,58.6,yes,>60 min,yes,mixed,42.5,39.1,74.7,50.8,e,90.0
7039,18,other,private,diploma,6.3,55.1,yes,30-60 min,no,online videos,79.7,91.6,84.1,81.7,c,90.0
7040,18,other,public,high school,7.0,58.3,yes,>60 min,yes,coaching,94.8,66.7,85.0,82.2,c,90.0
7041,17,female,private,post graduate,1.6,94.3,yes,<15 min,no,textbook,52.5,77.7,67.2,52.8,e,80.0
7042,17,female,public,post graduate,2.5,54.9,yes,<15 min,yes,mixed,36.0,39.4,45.9,41.7,e,90.0
7043,17,female,private,high school,5.1,82.3,no,<15 min,no,coaching,63.1,52.5,55.5,64.4,d,29.159999999999982
7044,19,other,public,no formal,3.2,84.2,yes,<15 min,no,notes,45.3,54.6,41.5,59.2,d,34.879999999999995
7045,19,other,public,graduate,2.7,60.9,no,>60 min,no,notes,41.3,39.6,11.9,49.6,e,80.0
7046,14,other,private,no formal,3.4,61.5,yes,30-60 min,yes,mixed,59.9,44.5,74.6,53.8,e,40.82
7047,17,other,private,no formal,5.8,91.8,yes,30-60 min,yes,online videos,82.3,91.3,85.9,84.0,c,7.599999999999994
7048,16,other,public,diploma,2.0,71.0,yes,15-30 min,yes,coaching,39.8,54.0,46.7,43.6,e,80.0
7049,18,female,public,phd,1.0,75.0,yes,<15 min,no,mixed,43.8,40.5,49.7,44.2,e,80.0
7050,17,male,private,no formal,0.5,69.9,yes,15-30 min,yes,mixed,37.8,28.4,24.3,30.4,f,80.0
7051,19,female,public,graduate,4.5,59.2,yes,<15 min,no,coaching,90.7,52.0,69.0,64.4,d,90.0
7052,16,other,public,graduate,2.4,72.0,yes,>60 min,no,coaching,18.9,58.8,33.7,48.3,e,80.0
7053,18,female,public,high school,4.7,63.5,yes,15-30 min,yes,coaching,70.1,65.4,72.0,70.9,c,22.00999999999999
7054,14,male,public,graduate,7.1,65.0,yes,>60 min,yes,coaching,71.7,84.8,83.0,75.2,c,17.279999999999987
7055,19,other,public,graduate,2.7,60.1,yes,<15 min,yes,mixed,62.6,52.0,40.4,50.1,e,80.0
7056,14,other,public,no formal,1.9,81.3,yes,15-30 min,no,notes,38.7,35.0,69.6,40.3,e,80.0
7057,16,female,public,phd,0.5,64.3,yes,<15 min,no,group study,33.4,27.3,24.2,38.5,f,80.0
7058,19,female,private,high school,7.9,58.3,no,30-60 min,yes,notes,90.5,100.0,99.1,93.5,b,90.0
7059,19,male,public,diploma,4.4,90.4,yes,<15 min,yes,coaching,82.7,73.6,68.2,68.7,d,24.429999999999993
7060,16,other,public,no formal,6.5,78.8,yes,15-30 min,no,group study,71.0,88.6,100.0,89.1,b,1.9899999999999949
7061,16,male,public,graduate,6.9,92.9,yes,>60 min,no,notes,86.4,94.5,80.9,84.0,c,7.599999999999994
7062,14,female,private,graduate,8.0,89.1,yes,>60 min,no,online videos,100.0,100.0,89.9,100.0,a,-10.000000000000014
7063,19,female,public,no formal,6.9,68.6,yes,<15 min,no,group study,100.0,87.0,99.8,90.9,b,0.009999999999990905
7064,14,male,private,high school,2.7,78.1,yes,15-30 min,yes,coaching,30.4,28.3,34.9,43.2,e,80.0
7065,14,female,public,post graduate,4.7,99.3,yes,30-60 min,yes,online videos,69.1,61.8,83.4,75.0,c,17.5
7066,16,other,public,post graduate,7.7,67.9,yes,<15 min,yes,group study,87.9,91.6,69.9,83.4,c,8.259999999999991
7067,14,other,private,high school,5.3,62.0,no,<15 min,no,textbook,62.8,60.9,59.5,66.9,d,26.409999999999982
7068,14,female,private,graduate,6.3,58.2,no,15-30 min,yes,mixed,63.0,69.8,69.9,79.4,c,90.0
7069,17,male,public,post graduate,7.3,97.0,yes,15-30 min,yes,coaching,100.0,100.0,79.8,94.7,b,-4.170000000000016
7070,18,other,public,diploma,5.1,62.5,yes,15-30 min,yes,textbook,63.0,59.1,49.4,62.8,d,30.92
7071,15,male,private,high school,5.7,96.4,yes,>60 min,no,coaching,75.0,78.7,98.7,83.5,c,8.149999999999991
7072,18,other,public,no formal,4.9,79.6,yes,30-60 min,no,coaching,55.4,52.0,88.1,66.2,d,27.179999999999993
7073,17,female,public,phd,3.0,79.5,yes,15-30 min,no,textbook,65.3,50.1,42.9,62.2,d,31.58
7074,15,female,public,high school,2.4,70.0,yes,<15 min,no,mixed,27.1,39.8,52.8,40.0,f,80.0
7075,18,female,private,post graduate,5.3,69.8,no,>60 min,no,group study,78.7,73.7,79.3,74.9,c,17.609999999999985
7076,17,female,private,high school,7.9,66.0,yes,30-60 min,yes,textbook,100.0,79.0,83.1,83.0,c,8.699999999999989
7077,18,male,private,post graduate,7.4,86.5,yes,>60 min,no,coaching,81.7,100.0,79.4,93.9,b,-3.2900000000000205
7078,14,female,private,high school,2.1,86.9,yes,>60 min,no,notes,75.6,58.1,69.8,58.6,d,80.0
7079,15,female,public,graduate,6.8,76.6,yes,30-60 min,yes,online videos,97.2,88.2,65.9,84.9,c,6.609999999999985
7080,15,other,public,phd,0.7,72.4,yes,15-30 min,no,online videos,22.4,15.3,26.3,28.3,f,80.0
7081,16,female,private,post graduate,4.9,81.8,yes,15-30 min,no,group study,59.1,60.4,54.4,62.4,d,31.36
7082,19,other,private,no formal,7.5,74.6,no,15-30 min,no,textbook,86.0,88.4,88.6,91.1,b,-0.21000000000000796
7083,18,male,public,graduate,7.7,91.2,yes,30-60 min,no,coaching,100.0,93.1,100.0,99.0,a,-8.900000000000006
7084,17,male,private,high school,5.0,53.3,yes,15-30 min,yes,mixed,70.2,90.3,49.2,69.6,d,90.0
7085,17,male,private,high school,5.2,95.1,no,<15 min,no,online videos,83.9,85.4,74.0,87.7,b,3.529999999999987
7086,19,other,private,post graduate,3.4,76.2,no,30-60 min,no,notes,53.9,63.3,56.5,61.0,d,32.89999999999999
7087,16,male,private,phd,5.9,75.5,yes,<15 min,yes,mixed,61.3,74.1,79.1,68.7,d,24.429999999999993
7088,15,male,private,phd,2.3,69.5,yes,<15 min,yes,group study,55.1,44.9,52.4,46.7,e,80.0
7089,14,other,public,phd,0.8,76.6,yes,>60 min,no,online videos,20.5,29.7,48.5,30.3,f,80.0
7090,15,female,private,diploma,6.8,61.0,yes,30-60 min,no,coaching,64.4,78.6,72.5,70.8,c,22.11999999999999
7091,17,female,public,graduate,1.0,74.9,no,<15 min,no,group study,52.7,31.2,48.5,45.1,e,80.0
7092,16,other,private,graduate,5.5,69.9,yes,30-60 min,yes,coaching,61.2,80.8,58.9,65.5,d,27.94999999999999
7093,16,other,private,post graduate,3.8,64.7,no,15-30 min,no,notes,55.2,65.9,33.1,62.4,d,31.36
7094,16,other,public,no formal,0.8,60.6,yes,>60 min,no,mixed,20.9,39.8,41.2,25.0,f,80.0
7095,19,female,private,post graduate,1.7,93.0,yes,>60 min,yes,textbook,62.5,50.5,47.1,44.1,e,80.0
7096,19,female,private,post graduate,1.3,92.5,yes,>60 min,yes,mixed,36.8,28.8,46.0,46.8,e,80.0
7097,14,male,private,phd,2.1,74.3,no,15-30 min,yes,textbook,52.2,31.2,31.7,40.2,e,80.0
7098,14,female,public,graduate,5.3,61.6,yes,15-30 min,yes,textbook,66.0,68.0,88.3,72.2,c,20.579999999999984
7099,15,other,public,diploma,4.8,72.5,no,30-60 min,no,online videos,80.4,61.6,61.1,76.7,c,15.629999999999995
7100,19,male,private,diploma,3.7,96.3,yes,30-60 min,yes,mixed,63.9,67.3,57.3,69.4,d,23.659999999999982
7101,16,other,public,graduate,6.8,89.0,no,<15 min,yes,group study,93.8,72.8,80.0,85.0,c,6.499999999999986
7102,19,male,private,high school,6.1,90.4,yes,30-60 min,yes,mixed,78.2,88.2,97.2,91.6,b,-0.7600000000000051
7103,17,male,public,post graduate,5.6,85.1,yes,15-30 min,yes,online videos,66.7,66.1,72.6,75.1,c,17.39
7104,17,female,public,diploma,5.0,86.2,yes,>60 min,yes,notes,66.2,70.5,79.4,72.7,c,20.029999999999987
7105,15,male,private,high school,5.7,57.5,yes,15-30 min,no,notes,68.2,76.9,73.6,65.4,d,90.0
7106,16,other,public,post graduate,2.2,67.3,yes,<15 min,no,textbook,52.8,44.9,50.1,52.7,e,80.0
7107,14,female,private,diploma,2.4,91.6,yes,30-60 min,yes,mixed,30.4,49.6,60.7,47.9,e,80.0
7108,17,female,private,no formal,2.7,58.9,yes,<15 min,yes,online videos,25.8,27.0,23.0,36.4,f,90.0
7109,15,female,public,graduate,6.1,53.8,yes,30-60 min,yes,group study,84.0,72.0,62.3,66.9,d,90.0
7110,15,male,private,graduate,3.7,92.3,yes,15-30 min,yes,coaching,69.7,62.7,69.4,69.6,d,23.439999999999998
7111,14,other,private,high school,7.7,89.0,yes,30-60 min,no,group study,67.6,92.0,96.5,88.2,b,2.9799999999999898
7112,18,other,private,no formal,0.8,57.9,yes,15-30 min,no,group study,36.1,10.6,44.5,30.1,f,90.0
7113,19,male,private,diploma,3.4,76.4,yes,<15 min,yes,textbook,67.0,52.8,59.1,66.5,d,26.849999999999994
7114,16,male,private,post graduate,1.7,52.1,yes,>60 min,no,mixed,39.3,40.8,38.8,36.1,f,90.0
7115,17,male,public,post graduate,6.6,57.4,yes,<15 min,yes,mixed,79.6,86.6,63.9,74.3,c,90.0
7116,19,male,public,high school,4.1,62.9,yes,>60 min,no,online videos,51.9,71.3,58.7,61.8,d,32.019999999999996
7117,17,female,public,diploma,5.2,85.2,yes,30-60 min,no,mixed,86.0,84.0,86.8,81.9,c,9.909999999999982
7118,17,other,public,phd,5.0,65.2,yes,15-30 min,no,online videos,78.0,62.3,74.7,69.1,d,23.989999999999995
7119,16,female,public,diploma,1.1,90.5,yes,15-30 min,no,online videos,40.2,30.5,45.8,43.4,e,80.0
7120,17,male,private,diploma,6.4,51.2,yes,15-30 min,no,coaching,76.5,62.4,58.0,64.3,d,90.0
7121,17,male,private,post graduate,6.7,50.2,yes,15-30 min,yes,mixed,54.5,60.7,70.9,71.8,c,90.0
7122,18,female,public,diploma,5.1,65.0,yes,30-60 min,yes,group study,73.5,62.0,62.4,67.0,d,26.299999999999997
7123,17,male,private,phd,2.6,86.5,yes,<15 min,no,group study,46.7,61.9,58.7,57.8,d,80.0
7124,17,female,private,diploma,5.9,97.6,yes,<15 min,yes,mixed,63.4,79.4,80.8,85.8,b,5.61999999999999
7125,14,male,private,diploma,5.8,65.8,no,30-60 min,yes,notes,67.6,75.9,73.8,80.7,c,11.22999999999999
7126,19,male,public,graduate,7.3,77.8,no,15-30 min,no,mixed,80.3,96.3,93.0,98.8,a,-8.680000000000007
7127,19,female,public,post graduate,1.4,52.1,yes,>60 min,yes,online videos,45.6,35.5,33.8,31.5,f,90.0
7128,15,male,public,diploma,7.3,50.1,yes,<15 min,no,notes,63.7,67.9,64.8,71.7,c,90.0
7129,15,female,public,high school,7.2,50.8,yes,<15 min,yes,coaching,75.1,82.4,58.4,70.7,c,90.0
7130,19,male,private,diploma,2.7,54.9,yes,<15 min,no,group study,39.0,52.4,53.2,45.0,e,90.0
7131,15,male,private,high school,5.9,93.7,yes,>60 min,no,online videos,91.5,86.9,66.4,75.0,c,17.5
7132,18,female,private,high school,2.5,82.1,yes,30-60 min,no,coaching,40.9,49.9,40.8,46.4,e,80.0
7133,18,male,private,post graduate,2.3,94.9,no,15-30 min,no,online videos,64.6,77.2,54.5,62.0,d,80.0
7134,19,other,private,diploma,5.3,91.7,no,30-60 min,yes,textbook,62.6,72.4,69.7,70.8,c,22.11999999999999
7135,14,other,private,high school,0.9,88.3,yes,15-30 min,yes,group study,42.4,40.2,38.3,35.5,f,80.0
7136,16,female,public,post graduate,1.2,67.7,yes,15-30 min,no,notes,44.5,30.0,41.6,46.5,e,80.0
7137,17,male,public,post graduate,5.5,56.7,no,15-30 min,no,group study,75.4,73.4,74.9,69.9,d,90.0
7138,19,female,private,high school,7.6,55.2,yes,>60 min,no,online videos,73.0,94.4,84.7,88.6,b,90.0
7139,15,female,private,high school,0.8,51.3,yes,>60 min,yes,group study,32.6,32.0,30.9,28.2,f,90.0
7140,15,female,public,post graduate,0.7,58.9,yes,30-60 min,no,notes,31.6,39.1,44.5,30.9,f,90.0
7141,15,other,private,high school,1.1,51.0,yes,<15 min,no,online videos,11.7,31.4,23.9,28.4,f,90.0
7142,18,other,private,phd,0.5,84.4,yes,15-30 min,yes,group study,10.6,30.1,34.3,31.4,f,80.0
7143,19,female,public,graduate,7.5,69.4,yes,15-30 min,yes,coaching,100.0,100.0,100.0,96.8,a,-6.480000000000004
7144,14,male,private,graduate,4.1,76.4,yes,30-60 min,no,group study,76.0,60.0,63.5,71.2,c,21.679999999999993
7145,15,male,public,graduate,5.7,73.9,no,>60 min,no,textbook,73.9,76.3,53.6,68.9,d,24.209999999999994
7146,15,other,public,no formal,3.6,64.2,yes,15-30 min,yes,coaching,74.8,58.7,58.9,59.3,d,34.769999999999996
7147,19,female,private,post graduate,8.0,55.7,yes,>60 min,no,online videos,89.8,85.4,85.8,81.4,c,90.0
7148,16,male,private,graduate,4.1,77.1,yes,<15 min,no,mixed,82.6,63.7,75.2,69.3,d,23.769999999999996
7149,15,female,public,high school,7.5,93.2,yes,<15 min,yes,coaching,88.7,100.0,98.4,100.0,a,-10.000000000000014
7150,15,other,private,post graduate,5.4,87.5,no,>60 min,no,coaching,81.1,71.1,82.0,81.2,c,10.679999999999993
7151,17,female,private,high school,7.6,96.6,yes,15-30 min,yes,group study,100.0,95.8,96.4,100.0,a,-10.000000000000014
7152,16,male,private,diploma,4.2,67.8,yes,>60 min,yes,notes,73.2,69.2,71.9,66.8,d,26.519999999999996
7153,14,other,public,graduate,7.1,92.3,no,15-30 min,yes,coaching,64.2,86.2,96.0,94.5,b,-3.950000000000003
7154,18,male,private,high school,3.0,86.1,no,30-60 min,yes,coaching,52.8,61.0,42.6,50.6,e,44.339999999999996
7155,16,other,private,no formal,5.5,97.2,no,<15 min,yes,mixed,77.6,93.7,97.9,83.6,c,8.039999999999992
7156,15,female,public,high school,5.1,64.4,yes,<15 min,yes,textbook,62.0,65.1,78.1,71.2,c,21.679999999999993
7157,18,male,private,post graduate,4.2,90.2,yes,>60 min,yes,textbook,78.5,73.5,56.8,66.8,d,26.519999999999996
7158,18,male,private,diploma,4.3,75.4,yes,15-30 min,no,coaching,68.4,67.7,64.7,73.2,c,19.47999999999999
7159,14,other,public,post graduate,1.8,71.8,yes,>60 min,yes,coaching,45.5,57.7,37.6,42.7,e,80.0
7160,14,other,public,no formal,7.3,73.3,yes,30-60 min,yes,notes,76.1,61.1,100.0,83.6,c,8.039999999999992
7161,14,male,public,high school,3.9,71.6,yes,30-60 min,yes,coaching,70.9,75.9,46.9,68.1,d,25.090000000000003
7162,18,female,public,high school,1.6,93.9,no,15-30 min,yes,group study,56.5,58.4,75.5,50.0,e,80.0
7163,17,other,public,no formal,5.8,97.2,yes,>60 min,no,textbook,79.7,69.8,73.8,76.6,c,15.739999999999995
7164,18,other,private,graduate,6.0,83.1,no,<15 min,no,group study,73.5,81.1,68.8,77.1,c,15.189999999999998
7165,17,other,public,high school,0.8,59.6,yes,30-60 min,no,online videos,27.1,17.7,36.9,24.0,f,90.0
7166,16,male,public,diploma,3.0,71.0,yes,30-60 min,yes,notes,80.1,53.4,57.1,60.0,d,34.0
7167,17,female,private,phd,4.9,67.8,yes,30-60 min,yes,mixed,71.5,72.2,81.1,62.4,d,31.36
7168,18,other,private,high school,6.7,83.5,yes,>60 min,yes,textbook,83.5,100.0,85.6,86.5,b,4.849999999999994
7169,16,male,public,high school,2.8,53.5,yes,<15 min,no,notes,30.9,32.9,45.5,41.8,e,90.0
7170,19,male,public,phd,2.7,82.7,yes,15-30 min,no,online videos,36.3,64.2,54.2,54.0,e,80.0
7171,19,other,public,diploma,6.0,73.3,yes,>60 min,no,notes,61.1,86.8,93.5,77.6,c,14.64
7172,18,other,public,high school,2.1,63.1,yes,>60 min,no,online videos,22.3,23.9,32.3,39.3,f,80.0
7173,19,male,public,post graduate,7.2,53.2,yes,>60 min,no,group study,56.1,65.8,68.6,72.3,c,90.0
7174,16,other,public,no formal,6.4,52.6,yes,15-30 min,no,coaching,81.6,67.7,76.5,77.4,c,90.0
7175,14,female,private,diploma,7.2,94.6,no,15-30 min,yes,mixed,100.0,94.2,92.8,93.3,b,-2.6300000000000097
7176,16,female,public,high school,3.2,78.8,yes,15-30 min,no,textbook,58.3,55.9,80.4,63.3,d,30.370000000000005
7177,18,female,private,phd,1.7,77.6,no,15-30 min,yes,notes,44.4,43.6,50.8,43.6,e,80.0
7178,18,other,public,high school,4.9,50.9,yes,>60 min,no,online videos,76.8,78.6,67.8,69.5,d,90.0
7179,16,female,public,graduate,1.9,88.5,yes,15-30 min,no,mixed,66.0,65.0,58.3,60.2,d,80.0
